STOP_FRISK_DATE,STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME,STOP_FRISK_TIME_DAYMIN,MONTH2,DAY2,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,SUSPECTED_CRIME_DESCRIPTION,SUSPECTED_CRIME_DESCRIPTION_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_ARREST_OFFENSE,SUSPECT_ARREST_OFFENSE_EDITED,OFFICER_IN_UNIFORM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,DEMEANOR_OF_PERSON_STOPPED_TOP10,SUSPECT_REPORTED_AGE,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT,SUSPECT_OTHER_DESCRIPTION,SUSPECT_OTHER_DESCRIPTION_TOP10,STOP_LOCATION_BORO_NAME
07-01-2019,7,00:35:00,35,January,Monday,POM,1,1,ASSAULT,ASSAULT,7,7,(null),NONE,Y,N,"NERVOUS, SCARED",NERVOUS,28,BLACK,5.6,165,300,BLACK LEATHER JACKET,JACKET,MANHATTAN
21-01-2019,21,20:18:00,1218,January,Monday,POF,1,1,ROBBERY,ROBBERY,10,10,ROBBERY,ROBBERY,Y,N,NERVOUS,NERVOUS,25,BLACK HISPANIC,5.11,177.5,305,(null),NONE,BRONX
28-01-2019,28,02:49:00,169,January,Monday,SGT,1,1,ROBBERY,ROBBERY,7,7,(null),NONE,N,N,CALM & COOPERATIVE,CALM,45,BLACK HISPANIC,5.8,170,180,BLACK COAT.,NONE,BRONX
28-01-2019,28,02:49:00,169,January,Monday,SGT,1,1,ROBBERY,ROBBERY,7,7,(null),NONE,N,N,CALM & COOPERATIVE,CALM,38,BLACK HISPANIC,5.6,165,180,BLACK COAT.,NONE,BRONX
14-01-2019,14,16:49:00,1009,January,Monday,POM,0,0,CPW,CPW,1,1,CPW,CPW,N,Y,NERVOUS,NERVOUS,21,BLACK HISPANIC,6.1,182.5,220,(null),NONE,BRONX
28-01-2019,28,12:40:00,760,January,Monday,POF,1,1,ASSAULT,ASSAULT,20,20,(null),NONE,Y,N,NORMAL,NORMAL,21,WHITE HISPANIC,5.7,167.5,150,(null),NONE,BRONX
28-01-2019,28,17:45:00,1065,January,Monday,POM,1,1,CPW,CPW,5,5,(null),NONE,N,N,CALM,CALM,34,BLACK,6.1,182.5,150,N/A,NONE,BROOKLYN
28-01-2019,28,00:10:00,10,January,Monday,POM,1,1,CPW,CPW,4,4,(null),NONE,Y,N,NORMAL,NORMAL,17,BLACK,5.6,165,130,(null),NONE,BROOKLYN
28-01-2019,28,06:30:00,390,January,Monday,POM,0,0,ASSAULT,ASSAULT,3,3,(null),NONE,Y,N,INTOXICATED,NONE,30,BLACK,5.8,170,150,(null),NONE,BROOKLYN
07-01-2019,7,16:55:00,1015,January,Monday,POM,1,1,ROBBERY,ROBBERY,2,2,(null),NONE,N,N,ANGRY,ANGRY,40,BLACK,6,180,200,(null),NONE,BROOKLYN
14-01-2019,14,13:44:00,824,January,Monday,POM,1,1,ASSAULT,ASSAULT,3,3,(null),NONE,Y,N,UPSET DUE TO DISPUTE WITH GIRLFRIEND,UPSET,24,WHITE HISPANIC,5.6,165,150,(null),NONE,BROOKLYN
07-01-2019,7,20:14:00,1214,January,Monday,POM,1,1,CPW,CPW,10,10,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,54,WHITE HISPANIC,5.7,167.5,165,UNKNOWN,NONE,BROOKLYN
28-01-2019,28,01:34:00,94,January,Monday,POM,1,1,ASSAULT,ASSAULT,5,5,(null),NONE,Y,N,FLEEING,NONE,21,BLACK,5.7,167.5,155,(null),NONE,BROOKLYN
28-01-2019,28,20:31:00,1231,January,Monday,POF,55,10+,CPW,CPW,20,20,(null),NONE,Y,N,ANNOYED/UPSET,UPSET,44,BLACK HISPANIC,5.6,165,140,BLACK HAT,HAT,BROOKLYN
28-01-2019,28,14:48:00,888,January,Monday,POM,1,1,CPW,CPW,15,15,(null),NONE,Y,N,NERVOUS,NERVOUS,29,BLACK,5.8,170,140,(null),NONE,QUEENS
14-01-2019,14,23:31:00,1411,January,Monday,POM,1,1,ROBBERY,ROBBERY,7,7,(null),NONE,Y,N,COMPLIANT,NONE,31,WHITE,6,180,170,(null),NONE,QUEENS
07-01-2019,7,03:55:00,235,January,Monday,POM,1,1,PETIT LARCENY,PETIT LARCENY,15,15,PETIT LARCENY,PETIT LARCENY,Y,N,NERVOUS,NERVOUS,35,BLACK,5.8,170,200,(null),NONE,QUEENS
07-01-2019,7,00:06:00,6,January,Monday,POM,1,1,BURGLARY,BURGLARY,15,15,(null),NONE,Y,N,HAPPY,NONE,44,BLACK HISPANIC,5.5,162.5,200,(null),NONE,QUEENS
28-01-2019,28,17:02:00,1022,January,Monday,POM,1,1,CPW,CPW,2,2,(null),NONE,Y,N,CALM AND COOPERATIVE,CALM,20,BLACK HISPANIC,5.4,160,150,DREADLOCKS,DREADLOCKS,QUEENS
07-01-2019,7,18:00:00,1080,January,Monday,POM,1,1,CPW,CPW,1,1,CPW,CPW,Y,Y,#N/A,NONE,16,BLACK,6,180,150,(null),NONE,STATEN ISLAND
07-01-2019,7,02:51:00,171,January,Monday,POM,10,10,BURGLARY,BURGLARY,8,8,(null),NONE,Y,N,CONCERNED,NONE,40,BLACK,5.1,152.5,170,"LEATHER WAIST LENGTH COAT/ HOODED SWEATSHIRT, SWEATPANTS",SWEATSHIRT,QUEENS
15-01-2019,15,18:50:00,1130,January,Tuesday,POM,1,1,ASSAULT,ASSAULT,5,5,ASSAULT,ASSAULT,N,N,#N/A,NONE,21,BLACK,5.9,172.5,150,(null),NONE,MANHATTAN
29-01-2019,29,04:12:00,252,January,Tuesday,POM,1,1,BURGLARY,BURGLARY,2,2,CRIMINAL POSSESSION OF CONTROLLE,OTHER,N,N,NERVOUS,NERVOUS,49,BLACK,6,180,230,NONE,NONE,MANHATTAN
29-01-2019,29,15:55:00,955,January,Tuesday,POM,1,1,ROBBERY,ROBBERY,6,6,ROBBERY,ROBBERY,Y,N,NERVOUS,NERVOUS,14,BLACK,5.6,165,110,(null),NONE,MANHATTAN
01-01-2019,1,16:00:00,960,January,Tuesday,POM,1,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,76,40+,(null),NONE,N,N,COOPERATIVE,COOPERATIVE,45,WHITE HISPANIC,5.1,152.5,200,UNKNOWN,NONE,MANHATTAN
01-01-2019,1,16:00:00,960,January,Tuesday,POM,1,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,76,40+,(null),NONE,N,N,COOPERATIVE,COOPERATIVE,41,WHITE HISPANIC,5.4,160,150,UNKNOWN,NONE,MANHATTAN
15-01-2019,15,13:40:00,820,January,Tuesday,POM,1,1,MENACING,MENACING,15,15,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,30,BLACK,5.8,170,180,"MALE BLACK, TAN PANTS, DARK COLORED JACKET , BRAIDS, MALE 5'8"".",JACKET,MANHATTAN
08-01-2019,8,13:00:00,780,January,Tuesday,POF,0,0,CPW,CPW,5,5,(null),NONE,Y,N,IRATE,NONE,24,BLACK HISPANIC,5.5,162.5,130,(null),NONE,MANHATTAN
08-01-2019,8,20:55:00,1255,January,Tuesday,POM,1,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,30,30,(null),NONE,Y,N,NON COMPLAINT,NONE,16,WHITE HISPANIC,5.5,162.5,110,(null),NONE,MANHATTAN
15-01-2019,15,20:44:00,1244,January,Tuesday,POM,1,1,CPW,CPW,10,10,(null),NONE,Y,N,CALM,CALM,46,BLACK,5.1,152.5,250,"BLACK JACKET, BLACK HAT, WHITE SNEAKERS",JACKET,MANHATTAN
29-01-2019,29,21:53:00,1313,January,Tuesday,POM,1,1,ROBBERY,ROBBERY,1,1,ROBBERY,ROBBERY,N,N,NERVOUS,NERVOUS,39,BLACK,5.9,172.5,170,(null),NONE,MANHATTAN
01-01-2019,1,00:37:00,37,January,Tuesday,POM,2,2,CPW,CPW,3,3,CPW,CPW,Y,Y,APPARENTLY NORMAL,NONE,25,BLACK,5.5,162.5,150,(null),NONE,MANHATTAN
29-01-2019,29,18:06:00,1086,January,Tuesday,POM,1,1,ROBBERY,ROBBERY,5,5,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,17,WHITE HISPANIC,5.7,167.5,160,BLACK SWEATSHIRT,SWEATSHIRT,MANHATTAN
01-01-2019,1,14:51:00,891,January,Tuesday,POM,1,1,CPW,CPW,3,3,(null),NONE,Y,N,CALM,CALM,45,BLACK,5.1,152.5,200,(null),NONE,MANHATTAN
01-01-2019,1,02:50:00,170,January,Tuesday,POM,0,0,CPW,CPW,3,3,(null),NONE,Y,N,"NON COMBATIVE, UNDERSTANDING",UNDERSTANDING,24,BLACK,5.8,170,180,(null),NONE,MANHATTAN
22-01-2019,22,14:40:00,880,January,Tuesday,POM,0,0,MENACING,MENACING,4,4,(null),NONE,Y,N,CALM,CALM,33,BLACK,6.2,185,220,GREEN JACKET DARK BLUE PANTS,JACKET,MANHATTAN
22-01-2019,22,20:20:00,1220,January,Tuesday,POM,1,1,CRIMINAL TRESPASS,CRIMINAL TRESPASS,5,5,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,#N/A,NONE,31,BLACK,5.6,165,140,(null),NONE,MANHATTAN
22-01-2019,22,20:20:00,1220,January,Tuesday,POM,2,2,CRIMINAL TRESPASS,CRIMINAL TRESPASS,5,5,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,UPSET,UPSET,28,BLACK,5.8,170,150,(null),NONE,MANHATTAN
01-01-2019,1,07:20:00,440,January,Tuesday,POM,1,1,ASSAULT,ASSAULT,20,20,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,26,WHITE HISPANIC,5.9,172.5,170,(null),NONE,MANHATTAN
29-01-2019,29,10:55:00,655,January,Tuesday,POM,1,1,CRIMINAL TRESPASS,CRIMINAL TRESPASS,5,5,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,APPARENTLY NORMAL,NONE,33,WHITE HISPANIC,6,180,180,N/A,NONE,MANHATTAN
15-01-2019,15,15:45:00,945,January,Tuesday,POM,1,1,ASSAULT,ASSAULT,21,21,(null),NONE,Y,N,NERVOUS,NERVOUS,17,WHITE HISPANIC,6.1,182.5,150,(null),NONE,BRONX
15-01-2019,15,16:55:00,1015,January,Tuesday,POM,1,1,ROBBERY,ROBBERY,4,4,ROBBERY,ROBBERY,N,N,NERVOUS / FIDGETING,NERVOUS,16,BLACK,6.2,185,185,N/A,NONE,BRONX
15-01-2019,15,16:56:00,1016,January,Tuesday,POM,1,1,ROBBERY,ROBBERY,5,5,ROBBERY,ROBBERY,N,N,"NERVOUS,FIDGETY, RUNNING FROM LOCATION",NERVOUS,15,BLACK,5.6,165,130,(null),NONE,BRONX
29-01-2019,29,14:00:00,840,January,Tuesday,POM,1,1,CPW,CPW,3,3,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,Y,N,UPSET,UPSET,31,BLACK,5.9,172.5,170,(null),NONE,BRONX
01-01-2019,1,17:30:00,1050,January,Tuesday,POM,5,5,CPW,CPW,2,2,CP OF MARIHUANA,CP OF MARIHUANA,Y,N,#N/A,NONE,20,BLACK HISPANIC,5.1,152.5,160,(null),NONE,BRONX
08-01-2019,8,19:00:00,1140,January,Tuesday,POM,1,1,CPW,CPW,4,4,(null),NONE,Y,N,NON COMPLIANT / ERRATIC UPON INTERACTION WITH POLICE,NONE,18,WHITE HISPANIC,5.11,177.5,160,(null),NONE,BRONX
08-01-2019,8,19:00:00,1140,January,Tuesday,POM,1,1,CPW,CPW,4,4,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,17,BLACK HISPANIC,6.1,182.5,180,(null),NONE,BRONX
22-01-2019,22,01:10:00,70,January,Tuesday,POM,0,0,CP OF MARIHUANA,CP OF MARIHUANA,30,30,(null),NONE,Y,N,#N/A,NONE,26,BLACK,6.1,182.5,185,(null),NONE,BRONX
08-01-2019,8,18:18:00,1098,January,Tuesday,POM,0,0,ROBBERY,ROBBERY,5,5,ROBBERY,ROBBERY,Y,Y,AGITATED,AGITATED,19,BLACK,5.1,152.5,180,(null),NONE,BRONX
08-01-2019,8,16:23:00,983,January,Tuesday,POM,0,0,OTHER,OTHER,10,10,OTHER,OTHER,Y,N,NERVOUS,NERVOUS,36,WHITE HISPANIC,5.6,165,150,(null),NONE,BRONX
22-01-2019,22,23:00:00,1380,January,Tuesday,POM,1,1,CPW,CPW,1,1,(null),NONE,N,N,ANGRY,ANGRY,27,BLACK,5.1,152.5,220,(null),NONE,BRONX
29-01-2019,29,13:25:00,805,January,Tuesday,POM,1,1,CPW,CPW,10,10,CPW,CPW,Y,N,ANGRY,ANGRY,26,BLACK,6.1,182.5,150,(null),NONE,BRONX
22-01-2019,22,20:50:00,1250,January,Tuesday,POM,1,1,CPW,CPW,4,4,(null),NONE,N,N,CALM,CALM,32,WHITE HISPANIC,5.5,162.5,145,(null),NONE,BRONX
01-01-2019,1,04:33:00,273,January,Tuesday,POM,0,0,CPW,CPW,4,4,(null),NONE,Y,N,ANGRY,ANGRY,19,BLACK,6,180,170,(null),NONE,BRONX
01-01-2019,1,16:35:00,995,January,Tuesday,POM,1,1,CRIMINAL SALE OF CONTROLLED SUBSTANCE,OTHER,5,5,(null),NONE,N,N,#N/A,NONE,24,BLACK,5.4,160,140,(null),NONE,BRONX
01-01-2019,1,16:35:00,995,January,Tuesday,POM,1,1,CRIMINAL SALE OF CONTROLLED SUBSTANCE,OTHER,5,5,(null),NONE,N,N,NERVOUS,NERVOUS,24,WHITE,5.8,170,160,UNK,NONE,BRONX
08-01-2019,8,14:40:00,880,January,Tuesday,POM,1,1,CPW,CPW,5,5,(null),NONE,Y,N,HEAVY BREATHING NERVOUS,NERVOUS,17,WHITE HISPANIC,5.9,172.5,150,(null),NONE,BRONX
08-01-2019,8,14:40:00,880,January,Tuesday,POM,1,1,CPW,CPW,5,5,(null),NONE,Y,N,"NERVOUS, HEAVY BREATHING",NERVOUS,20,WHITE HISPANIC,6,180,170,(null),NONE,BRONX
29-01-2019,29,20:01:00,1201,January,Tuesday,POM,1,1,ROBBERY,ROBBERY,40,40+,(null),NONE,Y,N,ANGRY AND NERVOUS,NERVOUS,23,BLACK,5.8,170,190,N/A,NONE,BROOKLYN
