STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME_DAYMIN,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT
7,35,1,1,7,7,28,5.6,165,300
21,1218,1,1,10,10,25,5.11,177.5,305
28,169,1,1,7,7,45,5.8,170,180
28,169,1,1,7,7,38,5.6,165,180
14,1009,0,0,1,1,21,6.1,182.5,220
28,760,1,1,20,20,21,5.7,167.5,150
28,1065,1,1,5,5,34,6.1,182.5,150
28,10,1,1,4,4,17,5.6,165,130
28,390,0,0,3,3,30,5.8,170,150
7,1015,1,1,2,2,40,6,180,200
14,824,1,1,3,3,24,5.6,165,150
7,1214,1,1,10,10,54,5.7,167.5,165
28,94,1,1,5,5,21,5.7,167.5,155
28,1231,55,11,20,20,44,5.6,165,140
28,888,1,1,15,15,29,5.8,170,140
14,1411,1,1,7,7,31,6,180,170
7,235,1,1,15,15,35,5.8,170,200
7,6,1,1,15,15,44,5.5,162.5,200
28,1022,1,1,2,2,20,5.4,160,150
7,1080,1,1,1,1,16,6,180,150
7,171,10,10,8,8,40,5.1,152.5,170
15,1130,1,1,5,5,21,5.9,172.5,150
29,252,1,1,2,2,49,6,180,230
29,955,1,1,6,6,14,5.6,165,110
1,960,1,1,76,50,45,5.1,152.5,200
1,960,1,1,76,50,41,5.4,160,150
15,820,1,1,15,15,30,5.8,170,180
8,780,0,0,5,5,24,5.5,162.5,130
8,1255,1,1,30,30,16,5.5,162.5,110
15,1244,1,1,10,10,46,5.1,152.5,250
29,1313,1,1,1,1,39,5.9,172.5,170
1,37,2,2,3,3,25,5.5,162.5,150
29,1086,1,1,5,5,17,5.7,167.5,160
1,891,1,1,3,3,45,5.1,152.5,200
1,170,0,0,3,3,24,5.8,170,180
22,880,0,0,4,4,33,6.2,185,220
22,1220,1,1,5,5,31,5.6,165,140
22,1220,2,2,5,5,28,5.8,170,150
1,440,1,1,20,20,26,5.9,172.5,170
29,655,1,1,5,5,33,6,180,180
15,945,1,1,21,21,17,6.1,182.5,150
15,1015,1,1,4,4,16,6.2,185,185
15,1016,1,1,5,5,15,5.6,165,130
29,840,1,1,3,3,31,5.9,172.5,170
1,1050,5,5,2,2,20,5.1,152.5,160
8,1140,1,1,4,4,18,5.11,177.5,160
8,1140,1,1,4,4,17,6.1,182.5,180
22,70,0,0,30,30,26,6.1,182.5,185
8,1098,0,0,5,5,19,5.1,152.5,180
8,983,0,0,10,10,36,5.6,165,150
22,1380,1,1,1,1,27,5.1,152.5,220
29,805,1,1,10,10,26,6.1,182.5,150
22,1250,1,1,4,4,32,5.5,162.5,145
1,273,0,0,4,4,19,6,180,170
1,995,1,1,5,5,24,5.4,160,140
1,995,1,1,5,5,24,5.8,170,160
8,880,1,1,5,5,17,5.9,172.5,150
8,880,1,1,5,5,20,6,180,170
29,1201,1,1,40,50,23,5.8,170,190
29,1201,1,1,40,50,20,5.9,172.5,200
29,1201,1,1,40,50,24,5.9,172.5,191
1,1250,0,0,10,10,36,5.7,167.5,190
22,939,5,5,15,15,54,6.1,182.5,250
22,939,10,10,10,10,54,5.9,172.5,135
1,1035,1,1,15,15,37,5.6,165,150
1,1035,1,1,15,15,27,5.7,167.5,170
1,1035,1,1,15,15,35,6.2,185,220
1,1035,1,1,15,15,25,6,180,160
15,1035,5,5,5,5,19,5.8,170,180
15,915,5,5,5,5,21,5.8,170,180
15,1035,5,5,5,5,21,5.8,170,180
29,0,1,1,5,5,26,6,180,220
29,1335,1,1,5,5,27,6.1,182.5,190
29,1335,1,1,5,5,26,5.6,165,160
