min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,owned,weight
2,4,60,60,60,2015,8.66575,8.49837,23489,13,38105,2.8056
2,4,240,180,240,2015,8.65702,8.32401,10679,14,14147,4.3538
2,4,240,180,240,2016,8.50113,8.16882,11779,14,18673,3.6067
2,2,30,30,30,2015,8.15458,8.0096,28278,10,44173,2.2394
2,4,150,75,150,2016,8.28225,8.00248,10924,12,13899,3.7094
2,4,90,60,90,2015,8.10843,7.90469,18649,14,23647,2.8935
2,4,90,60,90,2016,8.2592,7.8782,8087,14,13139,2.4511
2,5,120,60,120,2014,8.16192,7.87141,13445,14,23681,3.2768
2,4,90,90,90,2014,8.08325,7.84462,11413,12,13458,3.1071
2,5,240,120,240,2015,8.22259,7.81454,6483,14,7605,4.2026
2,4,100,40,100,2015,7.97219,7.74016,11557,12,13553,3.1864
2,8,15,15,15,2015,7.82596,7.7283,38422,14,60771,1.3471
2,4,240,90,240,2015,7.93947,7.72144,14236,12,22239,2.6657
2,4,80,40,80,2014,7.80606,7.66228,20791,13,27209,2.8966
2,2,30,15,30,2014,7.77702,7.6546,24637,8,36532,1.7135
2,5,45,45,45,2014,7.80183,7.64919,17399,13,22413,2.7585
2,5,210,45,210,2014,7.77802,7.63439,27015,14,37363,3.0026
2,4,60,60,60,2017,8.70088,7.59842,2285,14,6981,3.1429
2,4,150,75,150,2015,7.95735,7.59141,6443,12,8333,3.8727
2,4,20,20,20,2016,7.86862,7.56751,8718,8,14264,1.7654
2,4,120,120,120,2014,7.73627,7.51564,11792,13,15694,3.8132
2,4,180,120,180,2015,8.02822,7.50721,4794,14,8765,3.7622
2,4,60,60,60,2014,7.92246,7.50315,6190,13,10304,2.5357
2,2,20,20,20,2014,7.63582,7.49436,22548,12,34128,1.975
2,5,60,40,60,2014,7.62994,7.46839,15238,10,19724,2.5902
2,8,60,45,60,2016,7.75474,7.44242,7583,14,10572,2.0714
2,5,45,45,45,2016,8.08068,7.43759,3465,8,7612,2.6923
2,4,45,30,45,2017,7.95976,7.40665,4254,8,6075,1.8952
2,4,30,30,30,2014,7.51093,7.40278,35943,10,48579,1.8348
2,4,90,90,90,2016,7.99102,7.39125,3433,12,5810,3.3511
2,4,120,60,120,2015,7.77846,7.38621,5493,12,7071,3.2247
3,6,480,240,480,2017,9.06876,7.3819,1579,14,3227,4.1489
2,4,90,60,90,2015,7.7794,7.36635,5448,10,8639,2.527
2,4,90,60,90,2016,7.82065,7.34933,5082,14,7555,2.9394
2,5,120,60,120,2016,7.93856,7.32538,3763,14,9954,3.4516
2,7,42,42,42,2015,7.48298,7.32139,16638,10,25337,1.9256
2,4,90,90,90,2015,7.61135,7.31437,7357,13,11588,2.5474
2,8,20,20,20,2016,7.61792,7.31396,7613,8,15192,1.2966
2,5,50,30,50,2015,7.49928,7.31104,11505,8,15455,2.2542
2,6,120,120,120,2014,8.09664,7.30526,2460,12,4610,3.2095
3,5,180,60,180,2014,7.83801,7.29953,4178,12,6671,3.1202
2,5,180,120,180,2015,7.65585,7.29724,6183,14,13023,3.183
2,2,120,120,120,2015,7.9649,7.25564,3169,14,6713,3.1011
2,4,120,60,120,2017,8.11515,7.24761,2309,13,6355,2.7636
2,4,180,60,180,2015,7.81778,7.24655,3407,14,6451,4.0543
2,6,90,45,90,2015,7.59988,7.24532,5484,14,7852,2.2349
2,4,30,15,30,2017,7.95565,7.24291,2644,11,6799,1.4545
2,2,20,20,20,2015,7.9528,7.24166,2755,12,7377,1.9615
2,2,20,15,20,2014,7.60444,7.23536,5690,8,10009,1.6842
2,8,20,10,20,2016,7.47008,7.23335,8512,10,15992,1.3125
2,4,20,15,20,2016,7.44718,7.21988,9962,8,17168,1.2143
2,4,120,60,120,2015,7.81293,7.20612,3251,12,5381,2.5563
2,4,120,60,120,2016,7.82832,7.20238,2994,12,4069,3.2174
2,4,120,90,120,2014,7.76213,7.19091,3210,12,4434,4.3146
2,4,120,90,120,2015,8.03992,7.18338,2711,14,3628,3.1093
3,5,60,60,60,2014,7.28673,7.15578,18710,13,29295,1.6717
2,5,45,30,45,2017,7.4747,7.14759,6268,8,8656,1.768
2,4,60,30,60,2016,7.42986,7.14616,6773,8,9321,2.2353
2,4,120,60,120,2015,7.78756,7.13462,2681,12,3398,3.7525
2,2,45,30,45,2015,8.09717,7.13399,1884,14,5943,2.8108
2,5,30,30,30,2014,7.39414,7.1231,6676,8,10453,2.064
2,6,60,60,60,2016,7.87683,7.12275,2581,12,5847,2.6724
2,5,120,80,120,2016,7.90687,7.07951,2262,12,3955,3.5972
2,2,30,30,30,2016,7.89904,7.07881,2651,10,4449,2.2821
2,6,60,45,60,2017,7.60514,7.07723,3281,14,4713,2.06
2,5,30,30,30,2015,7.32457,7.07597,7446,10,12969,1.9187
2,4,60,45,60,2014,7.61202,7.07586,3114,10,5287,2.1
2,4,60,60,60,2016,7.91866,7.07083,2135,14,3116,2.5385
2,5,45,45,45,2015,7.60244,7.06411,3257,13,4474,2.0744
2,6,40,30,40,2014,7.20416,7.06011,14724,10,20795,1.8076
2,4,120,60,120,2015,7.78569,7.05916,2755,14,5361,3.449
2,4,90,60,90,2014,7.37551,7.05669,5251,14,6139,2.8433
2,5,45,45,45,2014,7.34411,7.05274,5782,8,9554,1.9947
2,4,60,60,60,2015,7.32754,7.04074,5926,14,8311,2.7789
2,4,40,40,40,2016,7.53103,7.03945,4091,14,7913,2.1452
2,4,60,30,60,2014,7.31396,7.02585,6236,14,7656,2.3513
2,6,60,60,60,2014,7.2486,7.02393,8625,12,12259,2.4568
2,4,60,30,60,2016,7.60554,7.01844,3680,11,8176,2.0617
2,4,120,60,120,2016,7.48854,7.00959,3738,10,6480,3.2059
2,4,100,100,100,2014,7.34571,7.00351,4774,12,8029,3.6986
2,5,90,90,90,2016,7.94643,7.00143,2357,14,5316,2.8
2,4,40,40,40,2016,7.29058,6.99713,5856,10,8472,2.0246
2,2,25,25,25,2015,7.46626,6.99326,3556,9,5893,2
2,4,30,30,30,2015,7.35791,6.98975,4468,8,6442,2.1796
2,4,120,30,120,2015,7.51512,6.97225,3583,14,6637,2.8846
3,8,15,15,15,2014,7.10834,6.97013,12567,12,18541,1.2775
3,7,10,10,10,2015,7.50568,6.96864,3153,8,7811,1.4714
2,2,240,90,240,2014,7.95612,6.96738,1662,13,4052,3.5192
2,5,90,60,90,2015,7.35968,6.95894,4087,13,6931,2.3942
2,8,30,20,30,2014,7.09816,6.95751,14821,8,19618,1.4868
2,4,40,30,40,2015,7.2926,6.95693,4878,8,6939,1.5046
2,4,45,30,45,2016,7.57873,6.95117,2694,8,3855,1.8448
2,4,40,40,40,2017,7.42916,6.94544,3647,10,6236,1.8736
2,4,120,60,120,2014,7.65887,6.94272,2161,12,3257,3.7914
2,6,40,40,40,2014,7.1194,6.93735,9920,10,15829,1.8468
2,2,60,60,60,2014,7.27738,6.93561,4977,14,9239,2.2887
2,5,75,30,75,2015,7.26363,6.93228,4656,10,7910,2.4034
2,4,45,45,45,2016,7.31209,6.9308,4457,14,6979,2.3
3,5,120,90,120,2016,7.70386,6.92662,2116,14,4146,3
2,8,60,45,60,2015,7.36,6.92505,3762,14,5909,2.5192
2,5,50,20,50,2014,7.16483,6.9206,6928,8,10641,1.5879
2,4,60,30,60,2015,7.22566,6.91602,5583,8,8969,1.7156
2,3,240,240,240,2015,8.34049,6.91439,1126,12,2110,3.2455
2,4,60,60,60,2017,8.07881,6.91023,1395,13,3101,2.75
2,4,20,20,20,2015,7.34799,6.90416,3842,10,7397,1.2193
2,4,180,120,180,2015,7.62857,6.902,2482,14,4499,2.7654
2,4,45,45,45,2015,8.26921,6.89425,1128,9,2519,2.7059
2,4,45,30,45,2017,7.43856,6.89225,2845,8,4035,1.7966
2,4,60,30,60,2017,7.4504,6.88901,2927,10,6020,2.3824
2,5,150,60,150,2015,7.76279,6.87862,1691,10,2512,3.8125
2,2,45,30,45,2014,7.41552,6.87846,3038,12,9632,2.2958
2,2,60,60,60,2014,7.35381,6.87694,3262,14,7465,2.3889
2,4,100,100,100,2014,7.38559,6.87404,2802,12,4193,3.7685
2,5,60,60,60,2014,7.61146,6.8651,1928,13,2962,2.7079
2,6,150,50,150,2015,8.00323,6.85648,1255,10,2288,3.3559
2,5,90,60,90,2017,7.70922,6.84919,1841,14,2776,2.5641
4,8,30,30,30,2014,7.03111,6.84665,8517,10,12951,1.2746
2,4,75,60,75,2015,7.53333,6.82839,2017,13,2968,2.3049
2,4,45,45,45,2015,7.13639,6.82447,4977,8,6309,1.8162
2,6,90,90,90,2014,7.30072,6.82214,3133,12,4138,3.1675
3,5,90,90,90,2014,7.227,6.81962,3396,14,5132,2.6214
2,4,100,70,100,2016,7.40034,6.81651,2387,12,3677,2.9825
2,6,90,60,90,2014,7.22783,6.81444,3440,13,5348,2.7887
2,7,90,90,90,2014,7.40633,6.8125,2412,10,3186,2.3699
2,4,120,60,120,2017,8.38375,6.80955,1001,13,4181,2.3636
2,4,30,5,30,2014,7.00129,6.80545,7867,9,11882,1.6747
2,2,10,10,10,2014,7.67097,6.80018,1664,0,2295,1.05
2,2,150,60,150,2014,7.92957,6.79923,1249,12,2532,3.6121
3,5,60,30,60,2016,7.26778,6.7952,3068,12,4414,2.18
2,4,45,45,45,2016,7.25164,6.79367,3159,10,5294,2.0455
2,2,45,30,45,2016,7.58559,6.7935,1764,10,3445,2.3462
2,6,30,30,30,2016,7.54615,6.78904,1856,8,3000,1.2222
2,6,30,30,30,2014,7.1489,6.78461,3983,8,5752,1.2164
2,2,45,45,45,2015,7.41642,6.7799,2341,14,8211,2.1351
2,2,120,45,120,2016,8.25158,6.77934,1038,12,2525,3.2727
2,4,60,30,60,2017,7.56142,6.77776,1769,10,3117,2
2,4,60,60,60,2015,7.19506,6.77649,3154,14,4803,2.3605
2,2,45,30,45,2014,7.42907,6.77215,2246,12,7507,2.2895
2,5,90,90,90,2016,7.601,6.76804,2022,14,4764,3.0635
2,4,30,30,30,2015,7.02865,6.76581,5905,8,10263,1.5793
2,6,30,30,30,2015,7.102,6.75478,4216,8,6016,1.3937
2,7,45,30,45,2016,7.20255,6.7547,3361,10,5700,1.8772
2,2,45,45,45,2014,7.44485,6.74901,2240,14,4379,3.0579
2,2,45,45,45,2014,7.35447,6.74237,2162,13,3870,2.6634
2,4,80,40,80,2017,7.32875,6.73165,2423,13,4048,2.9437
2,5,30,20,30,2016,7.20153,6.71799,2688,8,4388,1.6182
2,2,60,60,60,2014,8.03447,6.71388,1152,12,3328,2.7059
2,5,75,45,75,2016,7.43474,6.71058,1767,10,2178,2.1667
2,4,45,45,45,2014,7.12968,6.70805,3019,14,5337,2.2016
2,4,240,120,240,2014,7.90286,6.70612,1071,12,2001,4.5282
2,4,120,90,120,2015,7.49641,6.7061,1603,12,2197,3.6154
2,5,90,60,90,2015,7.12406,6.70577,3345,12,5996,2.7471
3,4,60,60,60,2014,7.08154,6.69893,3513,14,6013,1.9578
2,8,30,20,30,2016,7.72188,6.69435,1312,8,3145,1.4444
2,5,30,20,30,2015,7.08309,6.68951,3326,8,5132,1.2258
3,5,75,75,75,2014,7.56435,6.6878,1480,14,2467,2.6719
2,4,30,30,30,2015,6.99893,6.68008,4229,10,8436,2.22
2,6,30,20,30,2014,7.01938,6.67904,3754,8,5753,1.5743
4,4,15,15,15,2014,7.38473,6.6779,1758,13,2955,1.52
2,4,90,45,90,2016,7.48427,6.67704,1518,12,2295,3.1846
2,4,120,60,120,2016,7.36731,6.6762,1833,13,3933,2.8409
2,4,45,35,45,2016,7.31339,6.67214,2000,10,3348,1.94
2,4,75,45,75,2017,7.71962,6.66487,1167,12,1923,2.8654
2,5,125,50,125,2017,7.50551,6.6622,1875,14,3748,2.6364
2,6,90,90,90,2014,7.46904,6.6572,1644,12,1854,2.2937
2,4,45,30,45,2015,7.1639,6.65277,2498,10,6376,1.8333
2,4,45,45,45,2014,7.56741,6.64802,1312,12,3106,2.4483
2,4,60,45,60,2015,7.45482,6.64614,1459,13,1863,2.4902
2,5,20,20,20,2014,7.07323,6.64569,2864,10,4434,1.4053
2,4,60,45,60,2016,7.18449,6.64292,2286,12,3132,2.2414
2,2,60,30,60,2014,7.59223,6.63636,1432,14,3567,2.712
2,4,120,60,120,2016,8.09906,6.63313,868,12,2469,4.2667
2,4,60,30,60,2014,6.95739,6.63174,3728,10,6101,2.2372
3,3,180,90,180,2016,7.78094,6.62796,1259,14,2907,3
2,8,60,30,60,2016,7.62341,6.62568,1389,10,3362,2.08
2,4,90,90,90,2014,7.36565,6.62342,1631,12,2196,2.9223
3,4,90,90,90,2014,7.39493,6.62235,1670,13,4093,2.5802
2,4,60,30,60,2015,6.95746,6.62111,3713,8,6375,2.0741
2,4,110,40,110,2017,7.65327,6.61217,1344,14,2565,3.0784
2,5,90,60,90,2015,7.74102,6.60263,1045,14,2453,2.2353
2,4,90,60,90,2015,7.40661,6.59672,1433,12,2020,2.75
2,4,25,25,25,2017,7.4995,6.59343,1384,8,3773,2.1
2,5,30,15,30,2015,7.0676,6.59042,2393,13,4838,2.9821
2,5,40,30,40,2016,7.1001,6.58522,2288,8,3940,2.0345
3,6,240,120,240,2015,7.49648,6.58509,1443,13,3190,3.7458
2,5,30,30,30,2014,7.04555,6.58481,2504,8,4036,1.7979
2,2,60,45,60,2016,7.71955,6.58163,1089,14,4283,2
2,2,60,60,60,2015,7.54352,6.57177,1169,14,2915,2.2258
2,2,20,5,20,2017,7.37826,6.56916,1400,10,3554,1.7273
2,4,75,75,75,2015,7.35108,6.56326,1388,10,2087,2.8315
2,4,30,30,30,2014,7.29903,6.55517,1813,12,4972,3.5043
2,4,20,20,0,2016,6.93164,6.55288,3301,6,5181,1
2,4,45,45,45,2016,7.28228,6.55231,1531,12,2987,2.6154
2,5,30,5,30,2017,7.48654,6.55174,1556,8,2931,1.0851
2,4,40,20,40,2015,7.28224,6.55026,1653,10,2736,2.0172
2,2,60,60,0,2015,7.42356,6.54724,1265,14,3295,2.1636
2,4,75,60,75,2014,7.27412,6.54496,1476,10,1896,2.734
2,6,40,20,40,2017,7.53487,6.54189,1144,10,1992,1.9565
3,5,60,60,60,2016,7.37477,6.54127,1361,16,3132,2.1875
2,4,90,45,90,2017,7.51121,6.53898,1426,10,2602,2.2593
2,2,20,15,20,2015,6.77274,6.537,4796,8,8199,1.5962
2,4,40,20,40,2016,7.0175,6.53691,2546,7,3717,1.6667
2,5,100,40,100,2015,7.41974,6.53653,1215,14,2639,3.18
2,2,90,45,90,2017,8.13603,6.5275,822,14,2047,4.0286
2,5,60,60,60,2014,7.2363,6.5211,1527,10,2261,2.2469
2,4,60,60,60,2014,7.3522,6.5137,1267,10,2116,2.34
2,5,90,90,90,2014,7.19954,6.50891,1499,13,2134,3.0337
