Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
2004,9.43,0.4,0.41,10.57,20.81,95,80,9.0,1588,4
2002,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,4
2001,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,1
2001,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,4
2004,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,1
2001,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,3
2003,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,1
2004,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,1
2002,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,3
2002,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,1
2001,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,4
2006,1.88,0.0,2.33,1.74,5.95,92,64,7.6,972,3
2001,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,1
2003,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,3
2004,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,3
2003,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,3
2006,3.81,0.63,0.0,0.68,5.12,92,69,8.5,112,3
2007,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,3
2005,3.98,0.26,0.01,0.66,4.91,88,29,8.0,121,1
2002,1.94,1.95,0.08,0.7,4.67,82,32,8.2,78,3
2004,4.18,0.26,0.01,0.08,4.53,91,30,7.9,78,1
2006,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,1
2002,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,1
2005,2.71,1.29,0.02,0.43,4.45,94,75,8.9,997,4
2001,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298,3
2006,0.1,2.39,1.05,0.86,4.39,86,19,8.9,33,1
2005,2.03,1.79,0.08,0.47,4.37,82,36,9.1,137,3
2005,2.2,0.58,1.38,0.17,4.33,87,64,9.0,766,2
2004,1.46,0.0,0.83,1.93,4.23,91,68,9.3,955,4
2005,0.78,2.55,0.04,0.84,4.21,80,32,7.8,47,1
2003,0.88,2.3,0.2,0.83,4.2,80,32,7.5,22,1
2002,3.36,0.21,0.01,0.56,4.14,95,25,7.7,65,1
2007,2.32,0.04,0.04,1.67,4.07,93,70,8.9,709,4
2000,1.68,1.51,0.51,0.35,4.05,85,25,8.5,117,3
2003,2.29,1.17,0.01,0.42,3.9,90,38,8.7,121,3
2005,0.93,1.94,0.31,0.7,3.87,88,62,8.6,229,3
2004,0.16,1.89,1.12,0.68,3.85,91,26,9.1,38,1
2004,0.58,2.48,0.04,0.59,3.7,81,27,7.6,56,1
2002,2.13,1.18,0.01,0.35,3.67,94,27,8.5,128,3
2002,2.53,0.81,0.06,0.24,3.65,82,42,7.9,82,4
2001,2.08,1.09,0.15,0.33,3.64,90,35,8.7,312,1
2007,0.05,0.0,0.64,2.93,3.63,82,10,7.9,38,1
2005,2.08,0.83,0.46,0.25,3.62,96,38,8.9,1013,4
2004,1.93,1.22,0.03,0.44,3.61,82,36,8.7,142,3
2001,2.02,1.17,0.0,0.42,3.61,64,23,7.7,32,3
2005,2.18,1.02,0.03,0.37,3.59,84,30,9.0,268,3
2006,1.56,1.4,0.07,0.5,3.54,78,49,7.8,112,4
2002,1.23,1.77,0.05,0.49,3.54,72,49,6.8,88,4
2001,1.9,1.13,0.1,0.41,3.53,72,27,7.9,48,3
2002,1.55,1.27,0.33,0.29,3.44,79,23,8.3,126,3
2004,1.75,1.2,0.02,0.43,3.41,80,50,8.9,106,3
2002,0.46,2.28,0.05,0.61,3.4,88,15,6.7,35,1
